-2845889.732	4666123.300	3276891.825	
-2845889.712	4666123.279	3276891.811	
-2845889.710	4666123.268	3276891.794	
-2845889.714	4666123.266	3276891.805	
-2845889.723	4666123.280	3276891.805	
-2845889.732	4666123.274	3276891.816	
-2845889.733	4666123.286	3276891.806	
-2845889.730	4666123.262	3276891.815	
-2845889.720	4666123.288	3276891.807	
-2845889.710	4666123.242	3276891.796	
-2845889.730	4666123.272	3276891.820	
-2845889.726	4666123.267	3276891.801	
-2845889.723	4666123.283	3276891.809	
-2845889.726	4666123.275	3276891.805	
-2845889.719	4666123.260	3276891.799	
-2845889.734	4666123.306	3276891.822	
-2845889.717	4666123.270	3276891.803	
-2845889.712	4666123.264	3276891.806	
-2845889.729	4666123.278	3276891.812	
-2845889.739	4666123.289	3276891.830	
-2845889.738	4666123.278	3276891.824	
-2845889.735	4666123.326	3276891.822	
-2845889.717	4666123.244	3276891.799	
-2845889.725	4666123.288	3276891.812	
-2845889.714	4666123.256	3276891.807	
-2845889.736	4666123.273	3276891.807	
-2845889.732	4666123.286	3276891.814	
-2845889.735	4666123.296	3276891.816	
-2845889.715	4666123.256	3276891.805	
-2845889.743	4666123.285	3276891.816	
-2845889.726	4666123.285	3276891.810	
-2845889.741	4666123.289	3276891.808	
-2845889.726	4666123.278	3276891.817	
-2845889.736	4666123.298	3276891.811	
-2845889.739	4666123.298	3276891.815	
-2845889.732	4666123.282	3276891.801	
-2845889.723	4666123.258	3276891.811	
-2845889.732	4666123.262	3276891.817	
-2845889.740	4666123.283	3276891.819	
-2845889.727	4666123.296	3276891.818	
-2845889.727	4666123.302	3276891.823	
-2845889.736	4666123.308	3276891.826	
-2845889.726	4666123.281	3276891.816	
-2845889.728	4666123.280	3276891.812	
-2845889.724	4666123.268	3276891.800	
-2845889.736	4666123.273	3276891.810	
-2845889.723	4666123.283	3276891.820	
-2845889.744	4666123.303	3276891.827	
-2845889.739	4666123.296	3276891.816	
-2845889.732	4666123.286	3276891.818	
-2845889.727	4666123.275	3276891.809	
-2845889.730	4666123.275	3276891.807	
-2845889.735	4666123.287	3276891.816	
-2845889.751	4666123.337	3276891.823	
-2845889.712	4666123.268	3276891.803	
